epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.93204,1.14327,2.60958,1.14152,0.5624,0.143,0.07719,0.05394,0.98066,4.56748,1.03177,0.000135,0.000135,0.000135
2,16.6017,1.07943,1.36067,1.07607,0.49151,0.20696,0.14623,0.09904,0.90719,4.45089,1.04585,0.000273639,0.000273639,0.000273639
3,26.8346,1.03445,1.19868,1.08121,0.5838,0.22166,0.20287,0.13822,0.918,1.22256,1.05616,0.000410892,0.000410892,0.000410892
4,36.0953,0.98909,1.08885,1.06639,0.32752,0.20191,0.11319,0.07366,0.92889,3.24543,1.04126,0.000492575,0.000492575,0.000492575
5,44.7447,0.9855,1.10933,1.07093,0.47117,0.15831,0.16712,0.12576,0.92031,0.98461,1.0431,0.0004901,0.0004901,0.0004901
6,53.3358,0.99796,1.03212,1.06246,0.34736,0.16313,0.20702,0.14873,0.95011,0.85425,1.05952,0.000487625,0.000487625,0.000487625
7,62.4231,0.99667,0.94476,1.05382,0.1971,0.20551,0.22143,0.15432,0.95736,0.82592,1.06432,0.00048515,0.00048515,0.00048515
8,71.518,0.95625,0.83624,1.03849,0.19622,0.20056,0.22085,0.15918,0.92439,0.75004,1.05668,0.000482675,0.000482675,0.000482675
9,80.6629,0.94772,0.76826,1.0174,0.21732,0.22519,0.23528,0.16699,0.89708,0.65256,1.03846,0.0004802,0.0004802,0.0004802
10,90.0498,0.97078,0.77661,1.04503,0.22476,0.21866,0.2351,0.16518,0.93946,0.66059,1.05264,0.000477725,0.000477725,0.000477725
11,98.6895,0.99003,0.74501,1.04496,0.21998,0.23128,0.23675,0.16808,0.93885,0.64939,1.0515,0.00047525,0.00047525,0.00047525
12,107.81,0.94597,0.71605,1.01184,0.22785,0.22388,0.23692,0.16905,0.945,0.64498,1.04836,0.000472775,0.000472775,0.000472775
13,116.913,0.93997,0.68354,1.01246,0.35116,0.22598,0.23832,0.16964,0.93376,0.62933,1.03063,0.0004703,0.0004703,0.0004703
14,126.033,0.9128,0.65437,0.99422,0.60609,0.23209,0.24904,0.17489,0.94627,0.58734,1.048,0.000467825,0.000467825,0.000467825
15,135.135,0.9147,0.62893,0.9916,0.67847,0.23637,0.25001,0.17495,0.95033,0.58529,1.05867,0.00046535,0.00046535,0.00046535
16,144.239,0.8848,0.589,0.97493,0.73321,0.232,0.26101,0.178,0.9325,0.55753,1.04648,0.000462875,0.000462875,0.000462875
17,153.393,0.91723,0.60133,1.02064,0.5194,0.25275,0.26055,0.17925,0.93092,0.57029,1.03828,0.0004604,0.0004604,0.0004604
18,162.705,0.87115,0.56246,0.97276,0.70435,0.25292,0.25493,0.17663,0.92242,0.57607,1.02972,0.000457925,0.000457925,0.000457925
19,171.33,0.87089,0.58623,0.97894,0.43731,0.26339,0.27289,0.18392,0.92559,0.55178,1.03335,0.00045545,0.00045545,0.00045545
20,180.485,0.89853,0.55324,0.9971,0.32403,0.30351,0.29357,0.18853,0.92535,0.57503,1.0298,0.000452975,0.000452975,0.000452975
21,189.642,0.83737,0.53401,0.96278,0.33264,0.31519,0.29502,0.18711,0.93219,0.57597,1.03097,0.0004505,0.0004505,0.0004505
22,198.266,0.85855,0.54081,0.9682,0.28103,0.32174,0.29301,0.18409,0.93987,0.5406,1.03468,0.000448025,0.000448025,0.000448025
23,206.893,0.83461,0.52246,0.96198,0.36656,0.3614,0.29423,0.18755,0.95781,0.56343,1.04524,0.00044555,0.00044555,0.00044555
24,215.51,0.86272,0.53141,0.95482,0.40409,0.37404,0.32431,0.19663,0.94108,0.54487,1.02965,0.000443075,0.000443075,0.000443075
25,224.701,0.89096,0.56609,0.99309,0.38059,0.3498,0.29805,0.18904,0.93791,0.51448,1.03045,0.0004406,0.0004406,0.0004406
26,233.503,0.84423,0.5016,0.96434,0.4686,0.33914,0.32467,0.19548,0.96679,0.53632,1.04662,0.000438125,0.000438125,0.000438125
27,242.126,0.90085,0.54608,0.99262,0.51117,0.40136,0.37417,0.2156,0.94122,0.52307,1.03466,0.00043565,0.00043565,0.00043565
28,251.231,0.84235,0.5177,0.97214,0.5189,0.39666,0.37155,0.20768,0.94082,0.52007,1.03611,0.000433175,0.000433175,0.000433175
29,259.881,0.80606,0.47406,0.94859,0.51554,0.40535,0.37593,0.21431,0.91945,0.50426,1.0298,0.0004307,0.0004307,0.0004307
30,268.527,0.80792,0.47541,0.93927,0.49749,0.37945,0.38184,0.21869,0.94269,0.51412,1.03399,0.000428225,0.000428225,0.000428225
31,277.673,0.8037,0.46538,0.94226,0.50023,0.41322,0.37203,0.21778,0.91997,0.50021,1.03103,0.00042575,0.00042575,0.00042575
32,286.313,0.82364,0.48909,0.9638,0.5184,0.41127,0.38634,0.22293,0.94076,0.52325,1.03223,0.000423275,0.000423275,0.000423275
33,295.491,0.80716,0.46111,0.95466,0.4344,0.46432,0.39505,0.22674,0.90321,0.50877,1.01812,0.0004208,0.0004208,0.0004208
34,304.679,0.78299,0.44695,0.96257,0.43002,0.44957,0.38491,0.22457,0.89389,0.50389,1.00968,0.000418325,0.000418325,0.000418325
35,313.618,0.80898,0.46816,0.94194,0.42695,0.46808,0.38328,0.22445,0.9244,0.50386,1.02102,0.00041585,0.00041585,0.00041585
36,322.238,0.75541,0.42511,0.9193,0.43678,0.48219,0.41745,0.23791,0.92979,0.4981,1.02549,0.000413375,0.000413375,0.000413375
37,331.398,0.73297,0.42612,0.91698,0.4349,0.46519,0.39246,0.22698,0.93459,0.49633,1.02987,0.0004109,0.0004109,0.0004109
38,340.015,0.76494,0.43426,0.93121,0.47002,0.46741,0.40961,0.23092,0.922,0.49194,1.03503,0.000408425,0.000408425,0.000408425
39,348.225,0.73547,0.41477,0.90951,0.45914,0.49034,0.42894,0.23894,0.92591,0.49118,1.04326,0.00040595,0.00040595,0.00040595
40,356.623,0.742,0.41438,0.92918,0.44676,0.50118,0.41856,0.23606,0.94922,0.5005,1.04923,0.000403475,0.000403475,0.000403475
41,364.521,0.7359,0.41641,0.91374,0.46938,0.51628,0.43093,0.2424,0.93929,0.50797,1.05044,0.000401,0.000401,0.000401
42,372.914,0.74241,0.42429,0.92514,0.44596,0.50231,0.43922,0.2396,0.94964,0.51737,1.04968,0.000398525,0.000398525,0.000398525
43,380.904,0.73393,0.40685,0.92051,0.44227,0.51971,0.41889,0.23321,0.93277,0.51142,1.04098,0.00039605,0.00039605,0.00039605
44,388.872,0.73604,0.43047,0.92326,0.47412,0.5125,0.43236,0.23397,0.92919,0.50823,1.03679,0.000393575,0.000393575,0.000393575
45,397.134,0.73468,0.43988,0.93029,0.44948,0.49289,0.42052,0.22962,0.94832,0.53988,1.0402,0.0003911,0.0003911,0.0003911
46,405.359,0.69201,0.39903,0.89693,0.47374,0.4847,0.43999,0.23757,0.93205,0.51961,1.03688,0.000388625,0.000388625,0.000388625
47,413.52,0.72774,0.43615,0.91713,0.48199,0.4907,0.4271,0.2385,0.92283,0.48698,1.03673,0.00038615,0.00038615,0.00038615
48,421.345,0.70648,0.4342,0.91775,0.44292,0.50749,0.42716,0.24112,0.93653,0.51255,1.04785,0.000383675,0.000383675,0.000383675
49,429.2,0.68476,0.39283,0.90178,0.423,0.50136,0.42334,0.24221,0.94184,0.50958,1.04887,0.0003812,0.0003812,0.0003812
50,437.041,0.70576,0.39933,0.90285,0.44757,0.46704,0.43985,0.24549,0.95192,0.48857,1.05395,0.000378725,0.000378725,0.000378725
51,445.597,0.70389,0.3978,0.92316,0.46623,0.51101,0.41895,0.23689,0.93614,0.50369,1.05124,0.00037625,0.00037625,0.00037625
52,453.426,0.69708,0.39331,0.90934,0.44367,0.50934,0.42107,0.23758,0.94975,0.50634,1.04975,0.000373775,0.000373775,0.000373775
53,461.291,0.69359,0.4012,0.90977,0.46788,0.52126,0.42719,0.23763,0.95345,0.47853,1.04854,0.0003713,0.0003713,0.0003713
54,469.277,0.66312,0.37834,0.89504,0.4509,0.52739,0.43939,0.24053,0.94149,0.48119,1.0451,0.000368825,0.000368825,0.000368825
55,477.507,0.66929,0.38336,0.90801,0.46446,0.52179,0.43871,0.24327,0.94033,0.50344,1.04833,0.00036635,0.00036635,0.00036635
56,485.79,0.6615,0.37893,0.89782,0.46042,0.52594,0.43265,0.24584,0.93652,0.47879,1.04945,0.000363875,0.000363875,0.000363875
57,493.831,0.67839,0.38939,0.90838,0.45336,0.53357,0.42607,0.24406,0.93435,0.48006,1.04769,0.0003614,0.0003614,0.0003614
58,501.689,0.69284,0.38818,0.9021,0.49283,0.54107,0.42848,0.23935,0.93743,0.48549,1.04285,0.000358925,0.000358925,0.000358925
59,509.684,0.67104,0.37666,0.9031,0.49039,0.54351,0.44352,0.25867,0.92037,0.48308,1.03702,0.00035645,0.00035645,0.00035645
60,518.017,0.65381,0.37541,0.88695,0.45379,0.5334,0.40341,0.23242,0.93471,0.49938,1.04308,0.000353975,0.000353975,0.000353975
61,525.87,0.66885,0.37965,0.89818,0.44618,0.51491,0.40507,0.23262,0.94706,0.49139,1.04606,0.0003515,0.0003515,0.0003515
62,533.72,0.66022,0.37067,0.88909,0.4597,0.53054,0.43753,0.24978,0.95247,0.48452,1.05334,0.000349025,0.000349025,0.000349025
63,541.558,0.66389,0.37033,0.88363,0.46683,0.52139,0.4461,0.25035,0.94237,0.50988,1.05143,0.00034655,0.00034655,0.00034655
64,549.609,0.64648,0.37243,0.90157,0.45705,0.48959,0.40948,0.22695,0.96512,0.51374,1.05741,0.000344075,0.000344075,0.000344075
65,557.744,0.67029,0.37807,0.89871,0.51145,0.53427,0.45623,0.24966,0.94508,0.48857,1.04518,0.0003416,0.0003416,0.0003416
66,565.943,0.68683,0.40156,0.89855,0.49934,0.55433,0.48875,0.25495,0.93655,0.51097,1.04047,0.000339125,0.000339125,0.000339125
67,574.438,0.63297,0.36864,0.8758,0.48421,0.52698,0.44722,0.25296,0.92613,0.47907,1.03381,0.00033665,0.00033665,0.00033665
68,582.527,0.6203,0.36731,0.87434,0.5309,0.53003,0.47667,0.25189,0.94447,0.4868,1.0449,0.000334175,0.000334175,0.000334175
69,590.366,0.63465,0.36849,0.8895,0.49274,0.55639,0.47088,0.2622,0.94612,0.48925,1.04926,0.0003317,0.0003317,0.0003317
70,598.674,0.62718,0.36503,0.88489,0.46283,0.53482,0.46408,0.26022,0.95112,0.52017,1.05285,0.000329225,0.000329225,0.000329225
71,606.529,0.60354,0.35471,0.8796,0.46212,0.53509,0.44492,0.25416,0.94014,0.55302,1.04559,0.00032675,0.00032675,0.00032675
72,614.628,0.63189,0.37009,0.88929,0.48962,0.55784,0.45761,0.25944,0.93029,0.5165,1.04798,0.000324275,0.000324275,0.000324275
73,622.853,0.61779,0.34775,0.87261,0.50531,0.54511,0.45888,0.26176,0.91446,0.50977,1.0373,0.0003218,0.0003218,0.0003218
74,631.038,0.6179,0.37542,0.8799,0.51145,0.55847,0.46873,0.26471,0.91795,0.49146,1.0392,0.000319325,0.000319325,0.000319325
75,639.396,0.58675,0.34119,0.872,0.49916,0.5403,0.47251,0.26388,0.9363,0.48931,1.0465,0.00031685,0.00031685,0.00031685
76,647.472,0.60342,0.35335,0.87443,0.51041,0.53892,0.49393,0.27582,0.93718,0.49358,1.04246,0.000314375,0.000314375,0.000314375
77,655.785,0.58365,0.35329,0.86594,0.54312,0.55735,0.5128,0.27216,0.92506,0.52031,1.0453,0.0003119,0.0003119,0.0003119
78,663.664,0.57367,0.33672,0.86142,0.52353,0.52813,0.4687,0.26559,0.92565,0.48108,1.05013,0.000309425,0.000309425,0.000309425
79,671.863,0.56356,0.33092,0.86525,0.48848,0.553,0.46857,0.26657,0.92372,0.48061,1.04786,0.00030695,0.00030695,0.00030695
80,680.063,0.58047,0.33389,0.86857,0.46602,0.54505,0.44481,0.26113,0.93477,0.47871,1.05863,0.000304475,0.000304475,0.000304475
81,688.287,0.57136,0.34061,0.862,0.47693,0.5366,0.45198,0.25989,0.93767,0.50574,1.06057,0.000302,0.000302,0.000302
82,696.446,0.58162,0.34582,0.87621,0.46712,0.55511,0.46278,0.26245,0.95205,0.49127,1.0673,0.000299525,0.000299525,0.000299525
83,704.633,0.56875,0.32652,0.86072,0.46568,0.54832,0.45664,0.25523,0.9414,0.48919,1.05953,0.00029705,0.00029705,0.00029705
84,713.014,0.58025,0.33509,0.87043,0.48791,0.5435,0.46182,0.25974,0.95105,0.47481,1.05841,0.000294575,0.000294575,0.000294575
85,720.857,0.56886,0.32694,0.86336,0.51239,0.53595,0.48199,0.26617,0.95386,0.47775,1.06219,0.0002921,0.0002921,0.0002921
86,728.719,0.56274,0.32219,0.85848,0.51277,0.50596,0.49551,0.2702,0.97207,0.4873,1.07741,0.000289625,0.000289625,0.000289625
87,736.539,0.5662,0.32369,0.85967,0.51017,0.53603,0.49888,0.27482,0.96359,0.47712,1.07356,0.00028715,0.00028715,0.00028715
88,744.399,0.56447,0.32259,0.86585,0.51352,0.54827,0.48288,0.27172,0.94915,0.47465,1.07135,0.000284675,0.000284675,0.000284675
89,752.246,0.57806,0.32618,0.86521,0.52426,0.54906,0.4974,0.27631,0.93633,0.47528,1.06311,0.0002822,0.0002822,0.0002822
90,760.969,0.5626,0.32094,0.86169,0.52858,0.5398,0.4917,0.27894,0.9297,0.47491,1.05877,0.000279725,0.000279725,0.000279725
91,770.098,0.56925,0.32183,0.87054,0.52282,0.53643,0.48969,0.26995,0.93584,0.48386,1.0575,0.00027725,0.00027725,0.00027725
92,778.42,0.53204,0.30636,0.85643,0.53033,0.53116,0.51118,0.28249,0.94677,0.48902,1.06169,0.000274775,0.000274775,0.000274775
93,787.461,0.54078,0.3142,0.86047,0.51876,0.55953,0.5001,0.27545,0.94476,0.48791,1.06604,0.0002723,0.0002723,0.0002723
94,795.316,0.55766,0.3264,0.86505,0.52084,0.56184,0.50022,0.26729,0.95404,0.49158,1.07579,0.000269825,0.000269825,0.000269825
95,803.171,0.54875,0.3209,0.85512,0.52516,0.56755,0.52029,0.28835,0.9473,0.51177,1.07352,0.00026735,0.00026735,0.00026735
96,811.487,0.53691,0.31047,0.85089,0.53424,0.54671,0.5161,0.28841,0.94216,0.50717,1.06731,0.000264875,0.000264875,0.000264875
97,819.347,0.52138,0.29922,0.84093,0.56083,0.55321,0.52009,0.28627,0.93893,0.48176,1.06882,0.0002624,0.0002624,0.0002624
98,827.132,0.49606,0.29484,0.84433,0.56754,0.51848,0.49189,0.27357,0.9372,0.48149,1.06929,0.000259925,0.000259925,0.000259925
99,835.142,0.52056,0.29732,0.84996,0.52012,0.57553,0.49523,0.26888,0.95201,0.4843,1.07099,0.00025745,0.00025745,0.00025745
100,843.328,0.5488,0.31601,0.86016,0.55232,0.54126,0.50567,0.27053,0.9559,0.50721,1.0749,0.000254975,0.000254975,0.000254975
101,851.643,0.51761,0.30954,0.85113,0.56607,0.55486,0.50326,0.27752,0.95027,0.50146,1.07526,0.0002525,0.0002525,0.0002525
102,859.728,0.5151,0.30476,0.84227,0.53842,0.5722,0.52384,0.28641,0.93962,0.49022,1.07552,0.000250025,0.000250025,0.000250025
103,867.563,0.52098,0.30675,0.85415,0.57966,0.56241,0.53482,0.29146,0.93561,0.47397,1.07394,0.00024755,0.00024755,0.00024755
104,875.985,0.52847,0.3241,0.85353,0.56521,0.54666,0.52562,0.28088,0.93356,0.48949,1.06281,0.000245075,0.000245075,0.000245075
105,883.817,0.5072,0.30708,0.84728,0.55282,0.53324,0.51887,0.28573,0.93863,0.51058,1.06351,0.0002426,0.0002426,0.0002426
106,891.673,0.49538,0.29025,0.84003,0.54825,0.55347,0.51435,0.2799,0.93746,0.48302,1.07026,0.000240125,0.000240125,0.000240125
107,899.711,0.48111,0.28306,0.84478,0.5603,0.53288,0.51327,0.27957,0.95016,0.49296,1.08349,0.00023765,0.00023765,0.00023765
108,907.945,0.49414,0.29268,0.84346,0.54358,0.58663,0.52355,0.28675,0.93824,0.47677,1.08441,0.000235175,0.000235175,0.000235175
109,916.463,0.50114,0.30215,0.84428,0.56054,0.58942,0.51875,0.28298,0.94032,0.48708,1.08056,0.0002327,0.0002327,0.0002327
110,924.912,0.50257,0.30299,0.84869,0.57775,0.57255,0.53356,0.291,0.94816,0.51374,1.08707,0.000230225,0.000230225,0.000230225
111,933.161,0.52884,0.33782,0.85172,0.5914,0.54416,0.50616,0.27945,0.94869,0.47032,1.08797,0.00022775,0.00022775,0.00022775
112,941.411,0.50537,0.30216,0.84442,0.60243,0.54361,0.53207,0.28234,0.95164,0.47605,1.08161,0.000225275,0.000225275,0.000225275
113,949.469,0.5143,0.30656,0.85206,0.54908,0.56123,0.52352,0.28147,0.93833,0.47371,1.07121,0.0002228,0.0002228,0.0002228
114,957.322,0.51675,0.30668,0.84931,0.55895,0.55379,0.52521,0.27585,0.93904,0.48716,1.07088,0.000220325,0.000220325,0.000220325
115,965.237,0.49724,0.30052,0.84713,0.58169,0.53661,0.52461,0.28205,0.93747,0.49837,1.07048,0.00021785,0.00021785,0.00021785
116,973.099,0.49508,0.29278,0.8388,0.55688,0.54968,0.52883,0.28262,0.9293,0.5026,1.06997,0.000215375,0.000215375,0.000215375
117,981.071,0.47933,0.28407,0.8467,0.55671,0.53787,0.51619,0.28602,0.94435,0.49302,1.07576,0.0002129,0.0002129,0.0002129
118,989.091,0.4918,0.2905,0.83557,0.55846,0.55741,0.52046,0.2887,0.93243,0.48455,1.07205,0.000210425,0.000210425,0.000210425
119,997.275,0.46999,0.27934,0.83216,0.60645,0.55208,0.53238,0.29723,0.93674,0.48139,1.07345,0.00020795,0.00020795,0.00020795
120,1006.3,0.4708,0.28212,0.84663,0.56277,0.56415,0.52132,0.29724,0.92987,0.47577,1.07019,0.000205475,0.000205475,0.000205475
121,1014.17,0.46071,0.27603,0.83281,0.53392,0.56035,0.51594,0.29501,0.92501,0.48142,1.07005,0.000203,0.000203,0.000203
122,1022.05,0.47021,0.29145,0.8395,0.55092,0.55635,0.5148,0.29249,0.9289,0.50161,1.07236,0.000200525,0.000200525,0.000200525
123,1029.91,0.49097,0.29709,0.84524,0.5751,0.55718,0.53427,0.29041,0.92648,0.51017,1.07318,0.00019805,0.00019805,0.00019805
124,1037.79,0.46627,0.27563,0.83395,0.57224,0.55972,0.54168,0.29394,0.92347,0.49516,1.06925,0.000195575,0.000195575,0.000195575
