epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.81,2.55619,6.18521,1.52643,0.00325,1,0.00813,0.00401,1.48456,4.00649,0.88771,0.0005,0.0005,0.0005
2,18.7934,1.68015,2.86035,1.02939,0.00282,0.86842,0.00684,0.00258,1.61717,3.95677,0.92663,0.0010099,0.0010099,0.0010099
3,27.5021,1.64051,2.3436,1.0093,0.00316,0.97368,0.23524,0.15022,1.508,3.17733,0.94225,0.00150951,0.00150951,0.00150951
4,34.3731,1.56529,1.88238,0.99306,0.9151,0.85113,0.93746,0.51916,1.67934,1.39822,0.98431,0.0019406,0.0019406,0.0019406
5,43.0037,1.61229,1.72217,0.99867,0.913,0.89474,0.93789,0.53817,1.5198,1.19043,0.95622,0.0019208,0.0019208,0.0019208
6,50.9475,1.54472,1.44378,0.99093,0.98044,0.86842,0.9487,0.59142,1.31088,1.28432,0.90848,0.001901,0.001901,0.001901
7,59.6485,1.54391,1.29419,0.97642,0.87399,0.9128,0.93871,0.53696,1.47466,0.93101,0.93986,0.0018812,0.0018812,0.0018812
8,68.5725,1.48135,1.1582,0.97749,0.91968,0.94737,0.96584,0.51579,1.63798,1.07871,0.95305,0.0018614,0.0018614,0.0018614
9,75.6423,1.47802,1.0327,0.97202,0.9699,1,0.97423,0.57449,1.45551,0.74757,0.90937,0.0018416,0.0018416,0.0018416
10,84.7433,1.46011,0.97409,0.96193,0.96375,1,0.975,0.58043,1.31317,0.66165,0.89619,0.0018218,0.0018218,0.0018218
11,92.0497,1.42541,0.94298,0.95134,0.94876,0.97453,0.97584,0.60703,1.27456,0.70123,0.88845,0.001802,0.001802,0.001802
12,100.967,1.43656,0.87259,0.95014,0.90472,0.99948,0.97463,0.60264,1.24291,0.72282,0.89301,0.0017822,0.0017822,0.0017822
13,108.16,1.42299,0.85087,0.95205,0.92192,0.97368,0.96905,0.58652,1.28453,0.65016,0.89283,0.0017624,0.0017624,0.0017624
14,116.502,1.37419,0.81994,0.94616,0.92554,0.98142,0.97431,0.58955,1.38215,0.6338,0.91102,0.0017426,0.0017426,0.0017426
15,123.623,1.34771,0.78899,0.93266,0.91635,0.97368,0.96888,0.60215,1.19436,0.71904,0.88759,0.0017228,0.0017228,0.0017228
16,131.774,1.31655,0.77697,0.93273,0.92488,0.97205,0.94984,0.5876,1.41782,0.66841,0.91307,0.001703,0.001703,0.001703
17,140.193,1.33952,0.77589,0.93115,0.94507,1,0.9545,0.56783,1.32437,0.68898,0.90702,0.0016832,0.0016832,0.0016832
18,147.433,1.35698,0.75649,0.93192,0.92033,1,0.97432,0.58097,1.3454,0.63635,0.91296,0.0016634,0.0016634,0.0016634
19,155.762,1.32412,0.71481,0.92141,0.92461,0.96829,0.9574,0.55677,1.34737,0.70154,0.90824,0.0016436,0.0016436,0.0016436
20,162.688,1.32951,0.7293,0.92113,0.90056,1,0.9685,0.58603,1.27783,0.67829,0.8788,0.0016238,0.0016238,0.0016238
21,171.205,1.3264,0.70836,0.94273,0.89916,0.97368,0.95235,0.57733,1.32357,0.70103,0.88362,0.001604,0.001604,0.001604
22,177.975,1.28245,0.69573,0.92255,0.92632,0.94737,0.93895,0.56289,1.28799,0.70812,0.89596,0.0015842,0.0015842,0.0015842
23,186.541,1.27722,0.7094,0.91698,0.93951,0.97368,0.98127,0.61849,1.24086,0.69836,0.89559,0.0015644,0.0015644,0.0015644
24,193.789,1.2599,0.69953,0.92172,0.96746,0.92105,0.96331,0.62475,1.3598,0.71374,0.90752,0.0015446,0.0015446,0.0015446
25,202.204,1.22692,0.66268,0.89983,0.9463,0.97368,0.97544,0.62211,1.36995,0.72439,0.90136,0.0015248,0.0015248,0.0015248
26,209.308,1.24495,0.65773,0.90886,0.94186,0.92105,0.95762,0.57667,1.25306,0.73852,0.89135,0.001505,0.001505,0.001505
27,217.292,1.23287,0.66545,0.90323,0.97121,0.88793,0.93035,0.56857,1.29571,0.81046,0.90038,0.0014852,0.0014852,0.0014852
28,224.658,1.19376,0.65657,0.90632,0.93769,0.89474,0.94763,0.55845,1.42332,0.71536,0.92113,0.0014654,0.0014654,0.0014654
29,232.443,1.23377,0.65397,0.8994,0.92416,0.92105,0.95975,0.58747,1.2873,0.68893,0.88494,0.0014456,0.0014456,0.0014456
30,239.926,1.18938,0.63546,0.89135,0.93337,1,0.98183,0.62074,1.34184,0.66391,0.88629,0.0014258,0.0014258,0.0014258
31,247.514,1.16613,0.63556,0.87891,0.88359,0.99876,0.94645,0.58256,1.30325,0.6582,0.8902,0.001406,0.001406,0.001406
32,255.426,1.10531,0.60997,0.87727,0.94721,0.94447,0.96247,0.58832,1.35259,0.66548,0.90184,0.0013862,0.0013862,0.0013862
33,262.534,1.15635,0.59542,0.89996,0.94764,0.97368,0.98051,0.62006,1.33919,0.6887,0.88674,0.0013664,0.0013664,0.0013664
34,271.041,1.13137,0.61548,0.88258,0.94571,0.97368,0.97989,0.59359,1.23652,0.6557,0.89209,0.0013466,0.0013466,0.0013466
35,277.787,1.14899,0.6026,0.88334,0.92197,0.97368,0.95921,0.58285,1.31219,0.70969,0.90474,0.0013268,0.0013268,0.0013268
36,286.203,1.09935,0.59211,0.87947,0.9247,0.9696,0.9692,0.56722,1.43723,0.72462,0.91611,0.001307,0.001307,0.001307
37,293.434,1.11309,0.58261,0.88564,0.97217,0.91926,0.96625,0.56216,1.35074,0.66009,0.91212,0.0012872,0.0012872,0.0012872
38,302.298,1.11122,0.59135,0.8879,0.93969,0.97368,0.97178,0.58185,1.23471,0.6741,0.87946,0.0012674,0.0012674,0.0012674
