Nome,Cognome,Nome_Completo,height,weight
OG,Anunoby,OG Anunoby,2.01,108.9
Josh,Hart,Josh Hart,1.93,97.5
Karl-Anthony,Towns,Karl-Anthony Towns,2.13,112.5
Mikal,Bridges,Mikal Bridges,1.98,94.8
Jalen,Brunson,Jalen Brunson,1.88,86.2
Jericho,Sims,Jericho Sims,2.08,113.4
Miles,McBride,Miles McBride,1.85,88.5
Cameron,Payne,Cameron Payne,1.91,83.0
Pacôme,Dadiet,Pacôme Dadiet,2.03,95.3
Ariel,Hukporti,Ariel Hukporti,2.11,111.6
Tyler,Kolek,Tyler Kolek,1.91,88.5
Jacob,Toppin,Jacob Toppin,2.03,90.7
Jaylen,Brown,Jaylen Brown,1.98,101.2
Jayson,Tatum,Jayson Tatum,2.03,95.3
Al,Horford,Al Horford,2.06,108.9
Derrick,White,Derrick White,1.93,86.2
Jrue,Holiday,Jrue Holiday,1.93,93.0
Luke,Kornet,Luke Kornet,2.16,113.4
Payton,Pritchard,Payton Pritchard,1.85,88.5
Sam,Hauser,Sam Hauser,2.01,98.4
Xavier,Tillman,Xavier Tillman,2.01,111.1
Jordan,Walsh,Jordan Walsh,1.98,93.0
Neemias,Queta,Neemias Queta,2.13,112.5
Baylor,Scheierman,Baylor Scheierman,1.98,93.0
Jaden,Springer,Jaden Springer,1.93,91.6
Jaden,McDaniels,Jaden McDaniels,2.06,83.9
Julius,Randle,Julius Randle,2.06,113.4
Rudy,Gobert,Rudy Gobert,2.16,117.0
Anthony,Edwards,Anthony Edwards,1.93,102.1
Mike,Conley,Mike Conley,1.83,79.4
Naz,Reid,Naz Reid,2.06,119.7
Donte,DiVincenzo,Donte DiVincenzo,1.93,92.1
Nickeil,Alexander-Walker,Nickeil Alexander-Walker,1.96,93.0
Joe,Ingles,Joe Ingles,2.03,99.8
Rob,Dillingham,Rob Dillingham,1.91,79.4
PJ,Dozier,PJ Dozier,1.98,93.0
Luka,Garza,Luka Garza,2.08,110.2
Leonard,Miller,Leonard Miller,2.08,99.8
Josh,Minott,Josh Minott,2.03,93.0
Terrence,Shannon Jr.,Terrence Shannon Jr.,1.98,97.5
Rui,Hachimura,Rui Hachimura,2.03,104.3
LeBron,James,LeBron James,2.06,113.4
Anthony,Davis,Anthony Davis,2.08,114.8
Austin,Reaves,Austin Reaves,1.96,89.4
D'Angelo,Russell,D'Angelo Russell,1.91,87.5
Max,Christie,Max Christie,1.96,86.2
Gabe,Vincent,Gabe Vincent,1.88,90.7
Jaxson,Hayes,Jaxson Hayes,2.13,99.8
Dalton,Knecht,Dalton Knecht,1.98,97.5
Bronny,James,Bronny James,1.91,95.3
Jalen,Hood-Schifino,Jalen Hood-Schifino,1.96,95.3
Maxwell,Lewis,Maxwell Lewis,2.01,97.5
Cam,Reddish,Cam Reddish,2.01,98.4
Aaron,Nesmith,Aaron Nesmith,1.98,97.5
Pascal,Siakam,Pascal Siakam,2.03,111.1
Myles,Turner,Myles Turner,2.11,113.4
Andrew,Nembhard,Andrew Nembhard,1.93,86.6
Tyrese,Haliburton,Tyrese Haliburton,1.96,83.9
James,Wiseman,James Wiseman,2.11,108.9
T.J.,McConnell,T.J. McConnell,1.85,86.2
Obi,Toppin,Obi Toppin,2.06,99.8
Bennedict,Mathurin,Bennedict Mathurin,1.96,95.3
Jarace,Walker,Jarace Walker,2.01,106.6
Enrique,Freeman,Enrique Freeman,2.01,99.8
Ben,Sheppard,Ben Sheppard,1.98,86.2
Johnny,Furphy,Johnny Furphy,2.06,90.7
Quenton,Jackson,Quenton Jackson,1.96,78.5
James,Johnson,James Johnson,2.01,108.9
Tim,Hardaway Jr.,Tim Hardaway Jr.,1.96,93.0
Tobias,Harris,Tobias Harris,2.03,102.5
Jalen,Duren,Jalen Duren,2.08,113.4
Jaden,Ivey,Jaden Ivey,1.93,88.5
Cade,Cunningham,Cade Cunningham,1.98,99.8
Malik,Beasley,Malik Beasley,1.93,84.8
Isaiah,Stewart,Isaiah Stewart,2.03,113.4
Simone,Fontecchio,Simone Fontecchio,2.01,94.8
Ronald,Holland II,Ronald Holland II,2.03,93.4
Marcus,Sasser,Marcus Sasser,1.88,88.5
Daniss,Jenkins,Daniss Jenkins,1.91,74.8
Wendell,Moore Jr.,Wendell Moore Jr.,1.96,97.5
Paul,Reed,Paul Reed,2.06,95.3
Cole,Swider,Cole Swider,2.03,99.8
Alondes,Williams,Alondes Williams,1.93,95.3
Dean,Wade,Dean Wade,2.06,103.4
Evan,Mobley,Evan Mobley,2.11,97.5
Jarrett,Allen,Jarrett Allen,2.06,110.2
Donovan,Mitchell,Donovan Mitchell,1.91,97.5
Darius,Garland,Darius Garland,1.85,87.1
Caris,LeVert,Caris LeVert,1.98,93.0
Sam,Merrill,Sam Merrill,1.93,93.0
Georges,Niang,Georges Niang,2.01,104.3
Isaac,Okoro,Isaac Okoro,1.96,102.1
Ty,Jerome,Ty Jerome,1.96,88.5
Craig,Porter Jr.,Craig Porter Jr.,1.85,81.6
Tristan,Thompson,Tristan Thompson,2.06,115.2
Jaylon,Tyson,Jaylon Tyson,1.98,97.5
Scottie,Barnes,Scottie Barnes,2.01,107.5
Ochai,Agbaji,Ochai Agbaji,1.96,97.5
Jakob,Poeltl,Jakob Poeltl,2.13,117.9
Gradey,Dick,Gradey Dick,1.98,90.7
Immanuel,Quickley,Immanuel Quickley,1.88,86.2
Chris,Boucher,Chris Boucher,2.06,90.7
Davion,Mitchell,Davion Mitchell,1.83,91.6
Jamal,Shead,Jamal Shead,1.85,90.7
Bruno,Fernando,Bruno Fernando,2.06,108.9
Jonathan,Mogbo,Jonathan Mogbo,2.06,102.1
Jamison,Battle,Jamison Battle,2.01,99.8
Garrett,Temple,Garrett Temple,1.96,88.5
Ulrich,Chomche,Ulrich Chomche,2.11,106.6
Taurean,Prince,Taurean Prince,1.98,98.9
Giannis,Antetokounmpo,Giannis Antetokounmpo,2.11,110.2
Brook,Lopez,Brook Lopez,2.16,127.9
Gary,Trent Jr.,Gary Trent Jr.,1.96,92.5
Damian,Lillard,Damian Lillard,1.88,88.5
Bobby,Portis,Bobby Portis,2.08,113.4
Pat,Connaughton,Pat Connaughton,1.96,94.8
Delon,Wright,Delon Wright,1.96,83.9
AJ,Green,AJ Green,1.93,86.2
Tyler,Smith,Tyler Smith,2.06,101.6
Andre,Jackson Jr.,Andre Jackson Jr.,1.98,94.8
Ryan,Rollins,Ryan Rollins,1.91,81.6
AJ,Johnson,AJ Johnson,1.96,72.6
MarJon,Beauchamp,MarJon Beauchamp,2.01,90.3
Chris,Livingston,Chris Livingston,1.98,99.8
Kelly,Oubre Jr.,Kelly Oubre Jr.,2.03,92.1
KJ,Martin,KJ Martin,1.98,97.5
Andre,Drummond,Andre Drummond,2.11,126.6
Eric,Gordon,Eric Gordon,1.91,97.5
Tyrese,Maxey,Tyrese Maxey,1.88,90.7
Caleb,Martin,Caleb Martin,1.96,93.0
Guerschon,Yabusele,Guerschon Yabusele,2.03,120.2
Kyle,Lowry,Kyle Lowry,1.83,88.9
Ricky,Council IV,Ricky Council IV,1.98,93.9
Jared,McCain,Jared McCain,1.91,88.5
Jeff,Dowtin Jr.,Jeff Dowtin Jr.,1.91,80.3
Lester,Quinones,Lester Quinones,1.93,94.3
Adem,Bona,Adem Bona,2.08,106.6
