Game,Giocatore,Tipo di tiro,Risultato,"Coordinate (x, y)",Assist,Tempo,Quarto,Punti
lal-vs-den,Davis,1' Dunk,Made,"(252.0, 58.0)",Russell (1),11:42,Q1,2
lal-vs-den,Jokic,7' Driving Floating Jump Shot,Made,"(263.0, 115.0)",Murray (1),11:15,Q1,2
lal-vs-den,Prince,24' 3PT Jump Shot,Made,"(486.99999999999994, 106.0)",James (1),10:57,Q1,3
lal-vs-den,Murray,6' Driving Finger Roll Layup,Made,"(244.0, 108.00000000000001)",,10:40,Q1,2
lal-vs-den,Prince,25' 3PT Jump Shot,Made,"(43.00000000000001, 184.00000000000003)",James (2),10:33,Q1,6
lal-vs-den,Murray,26' 3PT Step Back Jump Shot,Made,"(126.0, 281.0)",,10:16,Q1,5
lal-vs-den,Russell,25' 3PT Pullup Jump Shot,Miss,"(434.0, 218.99999999999997)",,10:03,Q1,0
lal-vs-den,Davis,18' Step Back Jump Shot,Miss,"(359.0, 197.0)",,09:49,Q1,0
lal-vs-den,Jokic,2' Layup,Miss,"(270.0, 63.0)",,09:36,Q1,0
lal-vs-den,James,2' Running Finger Roll Layup,Made,"(250.0, 74.0)",,09:30,Q1,2
lal-vs-den,Jokic,6' Turnaround Hook Shot,Miss,"(205.0, 89.0)",,09:16,Q1,0
lal-vs-den,Jokic,6' Turnaround Hook Shot,Made,"(199.0, 89.0)",,09:16,Q1,4
lal-vs-den,James,3PT Jump Shot,Miss,"(18.000000000000007, 46.00000000000001)",,09:02,Q1,0
lal-vs-den,Gordon,3' Running Layup,Made,"(277.0, 61.0)",,08:54,Q1,2
lal-vs-den,Reaves,11' Fadeaway Jumper,Miss,"(243.0, 155.0)",,08:39,Q1,0
lal-vs-den,Porter,Jr. 25' 3PT Running Jump Shot,Made,"(349.0, 281.0)",Jokic (1),08:30,Q1,3
lal-vs-den,Russell,4' Driving Reverse Layup,Miss,"(284.0, 67.0)",,08:14,Q1,0
lal-vs-den,Russell,26' 3PT Running Pull-Up Jump Shot,Miss,"(445.0, 221.0)",,08:07,Q1,0
lal-vs-den,Porter,Jr. 2' Cutting Dunk Shot,Made,"(248.0, 65.0)",Gordon (1),07:58,Q1,5
lal-vs-den,Murray,27' 3PT Pullup Jump Shot,Miss,"(124.0, 285.0)",,07:30,Q1,0
lal-vs-den,Caldwell-Pope,16' Jump Shot,Made,"(244.0, 212.0)",Gordon (2),07:25,Q1,2
lal-vs-den,Davis,3' Driving Layup,Made,"(223.0, 63.0)",,07:02,Q1,6
lal-vs-den,Caldwell-Pope,16' Fadeaway Jumper,Miss,"(174.0, 189.0)",,06:51,Q1,0
lal-vs-den,James,2' Running Finger Roll Layup,Made,"(230.0, 54.00000000000001)",,06:44,Q1,4
lal-vs-den,Jokic,3' Driving Layup,Made,"(272.0, 70.0)",Murray (2),06:27,Q1,6
lal-vs-den,Davis,6' Driving Finger Roll Layup,Miss,"(306.0, 69.0)",,06:15,Q1,0
lal-vs-den,Murray,26' 3PT Running Jump Shot,Miss,"(364.0, 282.0)",,06:11,Q1,0
lal-vs-den,Prince,3PT Jump Shot,Miss,"(23.000000000000007, 75.0)",,05:53,Q1,0
lal-vs-den,Davis,5' Running Layup,Miss,"(290.0, 74.0)",,05:33,Q1,0
lal-vs-den,Hachimura,3' Turnaround Bank Shot,Miss,"(256.0, 81.0)",,05:32,Q1,0
lal-vs-den,Porter,Jr. 25' 3PT Running Jump Shot,Miss,"(426.0, 234.0)",,05:26,Q1,0
lal-vs-den,Jokic,6' Turnaround Hook Shot,Made,"(218.99999999999997, 107.0)",,05:21,Q1,8
lal-vs-den,Jokic,6' Turnaround Hook Shot,Made,"(228.0, 102.00000000000001)",Gordon (3),04:47,Q1,10
lal-vs-den,Caldwell-Pope,3PT Running Jump Shot,Made,"(477.0, 50.0)",Gordon (4),04:20,Q1,5
lal-vs-den,Davis,17' Step Back Jump Shot,Miss,"(369.0, 166.0)",,04:00,Q1,0
lal-vs-den,Hachimura,25' 3PT Jump Shot,Miss,"(71.00000000000001, 226.0)",,03:53,Q1,0
lal-vs-den,Porter,Jr. 29' 3PT Jump Shot,Miss,"(97.00000000000001, 292.0)",,03:38,Q1,0
lal-vs-den,Reaves,3' Driving Layup,Made,"(278.0, 59.99999999999999)",,03:26,Q1,2
lal-vs-den,Jackson,3' Reverse Layup,Made,"(225.0, 61.0)",Jokic (2),03:11,Q1,2
lal-vs-den,Reaves,12' Pullup Jump Shot,Miss,"(199.0, 160.0)",,02:56,Q1,0
lal-vs-den,Vincent,26' 3PT Pullup Jump Shot,Miss,"(112.00000000000001, 266.0)",,02:29,Q1,0
lal-vs-den,Russell,6' Floating Jump Shot,Made,"(245.0, 107.0)",,01:56,Q1,2
lal-vs-den,Watson,3PT Jump Shot,Miss,"(16.999999999999993, 68.0)",,01:34,Q1,0
lal-vs-den,Reddish,25' 3PT Jump Shot,Miss,"(110.0, 263.0)",,01:14,Q1,0
lal-vs-den,Nnaji,27' 3PT Jump Shot,Miss,"(154.0, 299.0)",,01:00,Q1,0
lal-vs-den,Russell,3' Driving Layup,Miss,"(232.00000000000003, 79.0)",,00:24,Q1,0
lal-vs-den,James,23' Jump Shot,Miss,"(156.0, 264.0)",,00:20,Q1,0
lal-vs-den,Jackson,26' 3PT Step Back Jump Shot,Made,"(120.0, 277.0)",Nnaji (1),00:01,Q1,5
