Nome,Cognome,Nome_Completo
A.J.,Lawson,A.J. Lawson
AJ,Green,AJ Green
AJ,Johnson,AJ Johnson
Aaron,Gordon,Aaron Gordon
Aaron,Holiday,Aaron Holiday
Aaron,Nesmith,Aaron Nesmith
Aaron,Wiggins,Aaron Wiggins
Adam,Flagler,Adam Flagler
Adama,Sanogo,Adama Sanogo
Ajay,Mitchell,Ajay Mitchell
Al,Horford,Al Horford
Alec,Burks,Alec Burks
Alex,Caruso,Alex Caruso
Alex,Ducas,Alex Ducas
Alex,Len,Alex Len
Alex,Reese,Alex Reese
Alex,Sarr,Alex Sarr
Alondes,Williams,Alondes Williams
Alperen,Sengun,Alperen Sengun
Amen,Thompson,Amen Thompson
Amir,Coffey,Amir Coffey
Andre,Drummond,Andre Drummond
Andre,Jackson Jr.,Andre Jackson Jr.
Andrew,Nembhard,Andrew Nembhard
Andrew,Wiggins,Andrew Wiggins
Anfernee,Simons,Anfernee Simons
Anthony,Davis,Anthony Davis
Anthony,Edwards,Anthony Edwards
Anthony,Gill,Anthony Gill
Anton,Watson,Anton Watson
Antonio,Reeves,Antonio Reeves
Ariel,Hukporti,Ariel Hukporti
Armel,Traore,Armel Traore
Ausar,Thompson,Ausar Thompson
Austin,Reaves,Austin Reaves
Ayo,Dosunmu,Ayo Dosunmu
Baylor,Scheierman,Baylor Scheierman
Ben,Sheppard,Ben Sheppard
Ben,Simmons,Ben Simmons
Bennedict,Mathurin,Bennedict Mathurin
Bilal,Coulibaly,Bilal Coulibaly
Blake,Wesley,Blake Wesley
Bobby,Portis,Bobby Portis
Bobi,Klintman,Bobi Klintman
Bones,Hyland,Bones Hyland
Boo,Buie III,Boo Buie III
Branden,Carlson,Branden Carlson
Brandin,Podziemski,Brandin Podziemski
Brandon,Clarke,Brandon Clarke
Brandon,Ingram,Brandon Ingram
Brandon,Miller,Brandon Miller
Brandon,Williams,Brandon Williams
Braxton,Key,Braxton Key
Brice,Sensabaugh,Brice Sensabaugh
Bronny,James,Bronny James
Brook,Lopez,Brook Lopez
Bruce,Brown,Bruce Brown
Bruno,Fernando,Bruno Fernando
Bryce,McGowens,Bryce McGowens
Bub,Carrington,Bub Carrington
Buddy,Hield,Buddy Hield
CJ,McCollum,CJ McCollum
Cade,Cunningham,Cade Cunningham
Caleb,Houstan,Caleb Houstan
Caleb,Martin,Caleb Martin
Cam,Christie,Cam Christie
Cam,Reddish,Cam Reddish
Cam,Spencer,Cam Spencer
Cam,Thomas,Cam Thomas
Cam,Whitmore,Cam Whitmore
Cameron,Johnson,Cameron Johnson
Cameron,Payne,Cameron Payne
Caris,LeVert,Caris LeVert
Cason,Wallace,Cason Wallace
Chet,Holmgren,Chet Holmgren
Chris,Duarte,Chris Duarte
Chris,Livingston,Chris Livingston
Chris,Paul,Chris Paul
Christian,Braun,Christian Braun
Christian,Koloko,Christian Koloko
Christian,Wood,Christian Wood
Chuma,Okeke,Chuma Okeke
Clint,Capela,Clint Capela
Coby,White,Coby White
Cody,Martin,Cody Martin
Cody,Williams,Cody Williams
Colby,Jones,Colby Jones
Cole,Swider,Cole Swider
Colin,Castleton,Colin Castleton
Collin,Gillespie,Collin Gillespie
Collin,Sexton,Collin Sexton
Corey,Kispert,Corey Kispert
Cory,Joseph,Cory Joseph
Craig,Porter Jr.,Craig Porter Jr.
Cui,Yongxi,Cui Yongxi
D'Angelo,Russell,D'Angelo Russell
D.J.,Carton,D.J. Carton
DaQuan,Jeffries,DaQuan Jeffries
Daeqwon,Plowden,Daeqwon Plowden
Daishen,Nix,Daishen Nix
Dalen,Terry,Dalen Terry
Dalton,Knecht,Dalton Knecht
Damian,Lillard,Damian Lillard
