name,height,weight
Alaa Abdelnaby,2.08,108.9
Zaid Abdul-Aziz,2.06,106.6
Kareem Abdul-Jabbar,2.18,102.1
Mahmoud Abdul-Rauf,1.85,73.5
Tariq Abdul-Wahad,1.98,106.6
Shareef Abdur-Rahim,2.06,111.1
Tom Abernethy,2.01,99.8
Forest Able,1.91,81.6
John Abramovic,1.91,88.5
Alex Abrines,1.98,86.2
Precious Achiuwa,2.03,110.2
Alex Acker,1.96,83.9
Donald Ackerman,1.83,83.0
Mark Acres,2.11,99.8
Charles Acton,1.98,95.3
Quincy Acy,2.01,108.9
Alvan Adams,2.06,95.3
Don Adams,2.01,95.3
Hassan Adams,1.93,99.8
Jaylen Adams,1.83,102.1
Jordan Adams,1.96,94.8
Michael Adams,1.78,74.8
Steven Adams,2.11,120.2
Rafael Addison,2.03,109.3
Bam Adebayo,2.06,115.7
Deng Adel,2.01,90.7
Rick Adelman,1.88,79.4
Jeff Adrien,2.01,111.1
Arron Afflalo,1.96,95.3
Ochai Agbaji,1.96,97.5
Maurice Ager,1.96,91.6
Mark Aguirre,1.98,105.2
Blake Ahearn,1.88,86.2
Danny Ainge,1.96,79.4
Alexis Ajinca,2.18,112.5
Henry Akin,2.08,102.1
Josh Akognon,1.8,83.9
DeVaughn Akoon-Purcell,1.96,91.2
Solomon Alabi,2.16,114.3
Mark Alarie,2.03,98.4
Gary Alcorn,2.06,102.1
Santi Aldama,2.13,97.5
Furkan Aldemir,2.08,108.9
Cole Aldrich,2.11,114.8
LaMarcus Aldridge,2.11,113.4
Chuck Aleksinas,2.11,117.9
Cliff Alexander,2.03,108.9
Cory Alexander,1.85,86.2
Courtney Alexander,1.96,93.0
Gary Alexander,2.01,108.9
Joe Alexander,2.03,104.3
Kyle Alexander,2.08,98.0
Trey Alexander,1.93,83.9
Ty-Shon Alexander,1.91,88.5
Victor Alexander,2.08,120.2
Nickeil Alexander-Walker,1.96,93.0
Steve Alford,1.88,83.0
Rawle Alkins,1.96,102.1
Bob Allen,2.06,93.0
Grayson Allen,1.93,89.8
Jarrett Allen,2.06,110.2
Jerome Allen,1.93,83.5
Kadeem Allen,1.91,90.7
Lavoy Allen,2.06,117.9
Lucius Allen,1.88,79.4
Malik Allen,2.08,115.7
Randy Allen,2.03,99.8
Ray Allen,1.96,93.0
Timmy Allen,1.98,95.3
Tony Allen,1.93,96.6
Odis Allison,1.98,88.5
Lance Allred,2.11,113.4
Darrell Allums,2.03,99.8
Morris Almond,1.98,102.1
Derrick Alston,2.11,102.1
Rafer Alston,1.88,79.4
Peter Aluma,2.08,117.9
Jose Alvarado,1.83,81.2
John Amaechi,2.08,122.5
Ashraf Amaya,2.01,113.4
Al-Farouq Aminu,2.03,99.8
Lou Amundson,2.06,99.8
Bob Anderegg,1.91,90.7
Chris Andersen,2.08,111.1
David Andersen,2.11,112.0
Alan Anderson,1.98,99.8
Antonio Anderson,1.98,97.5
Cliff Anderson,1.88,90.7
Daniel Anderson,1.88,83.9
Derek Anderson,1.96,88.5
Dwight Anderson,1.91,83.9
Eric Anderson,2.06,99.8
Greg Anderson,2.08,113.4
James Anderson,1.98,96.6
Jerome Anderson,1.96,88.5
Justin Anderson,1.96,104.8
Kenny Anderson,1.85,76.2
Kim Anderson,2.01,90.7
Kyle Anderson,2.06,104.3
Michael Anderson,1.8,83.5
Mitchell Anderson,2.03,88.5
Nick Anderson,1.98,103.4
Richard Anderson,2.08,108.9
Ron Anderson,2.01,97.5
Ryan Anderson,2.08,108.9
Shandon Anderson,1.98,97.5
Willie Anderson,2.03,90.7
Wally Anderzunas,2.01,99.8
Martynas Andriuskevicius,2.18,108.9
Don Anielak,2.01,86.2
Ike Anigbogu,2.08,118.8
Michael Ansley,2.01,102.1
Chris Anstey,2.13,112.9
Giannis Antetokounmpo,2.11,110.2
Kostas Antetokounmpo,2.08,90.7
Thanasis Antetokounmpo,2.01,99.3
Carmelo Anthony,2.01,108.0
Cole Anthony,1.88,83.9
Greg Anthony,1.85,81.6
Joel Anthony,2.06,111.1
Pero Antic,2.11,117.9
OG Anunoby,2.01,108.9
Keith Appling,1.85,83.9
Rafael Araujo,2.11,122.5
Stacey Arceneaux,1.93,95.3
Nate Archibald,1.85,68.0
Robert Archibald,2.11,113.4
Ryan Arcidiacono,1.91,88.5
Jim Ard,2.06,97.5
Gilbert Arenas,1.93,97.5
Trevor Ariza,2.03,97.5
Paul Arizin,1.93,86.2
Joe Arlauckas,2.06,104.3
B.J. Armstrong,1.88,83.9
Bob Armstrong,2.03,99.8
Brandon Armstrong,1.96,83.9
Darrell Armstrong,1.85,81.6
Hilton Armstrong,2.11,106.6
Paul Armstrong,1.8,77.1
Taran Armstrong,1.96,86.2
Tate Armstrong,1.91,79.4
Jesse Arnelle,1.96,99.8
Jay Arnette,1.88,79.4
Bob Arnzen,1.96,93.0
Carlos Arroyo,1.88,90.7
Darrell Arthur,2.06,106.6
John Arthurs,1.93,83.9
Jamel Artis,2.01,96.6
Omer Asik,2.13,115.7
Vincent Askew,1.98,106.6
Keith Askins,2.03,97.5
Don Asmonga,1.88,83.9
Richard Atha,1.88,86.2
Chucky Atkins,1.8,83.9
Alvin Attles,1.85,79.4
Chet Aubuchon,1.78,62.1
Stacey Augmon,2.03,96.6
D.J. Augustin,1.8,83.0
James Augustine,2.08,106.6
Ike Austin,2.08,122.5
John Austin,1.83,77.1
Ken Austin,2.06,93.0
Deni Avdija,2.06,108.9
Anthony Avent,2.06,108.9
William Averitt,1.88,77.1
William Avery,1.88,81.6
Dennis Awtrey,2.08,106.6
Joel Ayayi,1.93,81.6
Gustavo Ayon,2.08,113.4
